sampleID,Code,dry_weight
21MBSH4R3,M_244,5.2234
21MBSH4R3FW,M_254,5.2881
21MBSH4R3UE,M_249,3.5087
21MBSH5R1,M_65,4.9794
21MBSH5R1FW,M_75,3.8451
21MBSH5R1UE,M_70,3.7789
21MBSH5R2,M_155,5.3265
21MBSH5R2FW,M_165,3.5637
21MBSH5R2UE,M_160,4.9044
21MBSH5R3,M_245,5.1536
21MBSH5R3FW,M_255,3.2626
21MBSH5R3UE,M_250,3.1608
R20BMR1R1,1,3.9214
R20BMR2R1,2,3.7885
R20BMR3R1,3,2.9321
R20BMR4R1,4,3.0994
R20BMR5R1,5,3.1943
R20BMR1R1UE,6,5.7041
R20BMR2R1UE,7,4.7292
R20BMR3R1UE,8,3.9797
R20BMR4R1UE,9,3.4022
R20BMR5R1UE,10,5.8396
R20BMR1R1FW,11,5.1716
R20BMR2R1FW,12,5.7142
R20BMR3R1FW,13,5.6985
R20BMR4R1FW,14,5.2529
R20BMR5R1FW,15,5.263
R20BSH1R1,16,5.251
R20BSH2R1,17,5.809
R20BSH3R1,18,4.4787
R20BSH4R1,19,4.9141
R20BSH5R1,20,5.4143
R20BSH1R1UE,21,5.5367
R20BSH2R1UE,22,5.2404
R20BSH3R1UE,23,5.8279
R20BSH4R1UE,24,5.6322
R20BSH5R1UE,25,3.8191
R20BSH1R1FW,26,3.8661
R20BSH2R1FW,27,5.0359
R20BSH3R1FW,28,5.418
R20BSH4R1FW,29,4.8867
R20BSH5R1FW,30,3.932
R20BCR1R1,31,2.9084
R20BCR2R1,32,3.0215
R20BCR3R1,33,3.2699
R20BCR4R1,34,3.2427
R20BCR5R1,35,3.6577
R20BCR1R1UE,36,3.6048
R20BCR2R1UE,37,3.9045
R20BCR3R1UE,38,3.6757
R20BCR4R1UE,39,3.9808
R20BCR5R1UE,40,3.8302
R20BCR1R1FW,41,3.3392
R20BCR2R1FW,42,3.6509
R20BCR3R1FW,43,3.4012
R20BCR4R1FW,44,2.9507
R20BCR5R1FW,45,3.1455
R20BGR1R1,46,3.6106
R20BGR2R1,47,3.1958
R20BGR3R1,48,3.3598
R20BGR4R1,49,3.8165
R20BGR5R1,50,3.7508
R20BGR1R1UE,51,3.2825
R20BGR2R1UE,52,3.717
R20BGR3R1UE,53,3.7012
R20BGR4R1UE,54,3.3979
R20BGR5R1UE,55,3.2504
R20BGR1R1FW,56,3.9277
R20BGR2R1FW,57,3.2835
R20BGR3R1FW,58,4.7938
R20BGR4R1FW,59,4.5443
R20BGR5R1FW,60,3.7029
R20BPS1R1,61,4.7886
R20BPS2R1,62,3.5998
R20BPS3R1,63,3.803
R20BPS4R1,64,4.6323
R20BPS5R1,65,3.252
R20BPS1R1UE,66,3.6341
R20BPS2R1UE,67,3.9249
R20BPS3R1UE,68,3.5956
R20BPS4R1UE,69,3.6773
R20BPS5R1UE,70,3.3395
R20BPS1R1FW,71,3.2692
R20BPS2R1FW,72,3.5775
R20BPS3R1FW,73,3.2258
R20BPS4R1FW,74,3.0225
R20BPS5R1FW,75,3.0873
R20BPM1R1,76,3.8627
R20BPM2R1,77,3.9151
R20BPM3R1,78,5.2944
R20BPM4R1,79,3.2911
R20BPM5R1,80,3.2481
R20BPM1R1UE,81,3.9089
R20BPM2R1UE,82,3.9473
R20BPM3R1UE,83,3.5945
R20BPM4R1UE,84,3.3108
R20BPM5R1UE,85,3.0866
R20BPM1R1FW,86,3.5249
R20BPM2R1FW,87,3.4449
R20BPM3R1FW,88,3.5991
R20BPM4R1FW,89,3.8661
R20BPM5R1FW,90,3.1966
R20BMR1R2,91,4.3059
R20BMR2R2,92,3.3381
R20BMR3R2,93,3.3702
R20BMR4R2,94,3.2848
R20BMR5R2,95,3.3708
R20BMR1R2UE,96,5.4211
R20BMR2R2UE,97,3.4975
R20BMR3R2UE,98,3.2595
R20BMR4R2UE,99,3.0611
R20BMR5R2UE,100,3.4927
R20BMR1R2FW,101,5.067
R20BMR2R2FW,102,3.0291
R20BMR3R2FW,103,5.1019
R20BMR4R2FW,104,5.2568
R20BMR5R2FW,105,4.8817
R20BSH1R2,106,4.9296
R20BSH2R2,107,4.6835
R20BSH3R2,108,4.7711
R20BSH4R2,109,4.8098
R20BSH5R2,110,4.7016
R20BSH1R2UE,111,4.3438
R20BSH2R2UE,112,5.1879
R20BSH3R2UE,113,3.9198
R20BSH4R2UE,114,4.1176
R20BSH5R2UE,115,4.1578
R20BSH1R2FW,116,5.2234
R20BSH2R2FW,117,3.5482
R20BSH3R2FW,118,5.2231
R20BSH4R2FW,119,3.0676
R20BSH5R2FW,120,3.3807
R20BCR1R2,121,3.5409
R20BCR2R2,122,3.4424
R20BCR3R2,123,3.1281
R20BCR4R2,124,3.623
R20BCR5R2,125,3.7087
R20BCR1R2UE,126,3.3171
R20BCR2R2UE,127,4.9201
R20BCR3R2UE,128,3.042
R20BCR4R2UE,129,3.6921
R20BCR5R2UE,130,3.6649
R20BCR1R2FW,131,3.2311
R20BCR2R2FW,132,3.6313
R20BCR3R2FW,133,3.868
R20BCR4R2FW,134,3.3697
R20BCR5R2FW,135,3.7556
R20BGR1R2,136,3.1141
R20BGR2R2,137,3.1085
R20BGR3R2,138,3.5358
R20BGR4R2,139,4.1171
R20BGR5R2,140,3.6856
R20BGR1R2UE,141,3.8907
R20BGR2R2UE,142,3.6981
R20BGR3R2UE,143,3.5668
R20BGR4R2UE,144,4.1086
R20BGR5R2UE,145,3.1813
R20BGR1R2FW,146,3.8167
R20BGR2R2FW,147,3.824
R20BGR3R2FW,148,4.8637
R20BGR4R2FW,149,3.4873
R20BGR5R2FW,150,4.7417
R20BPS1R2,151,5.1638
R20BPS2R2,152,3.3644
R20BPS3R2,153,3.9174
R20BPS4R2,154,5.3348
R20BPS5R2,155,2.9851
R20BPS1R2UE,156,4.2764
R20BPS2R2UE,157,4.2643
R20BPS3R2UE,158,4.1751
R20BPS4R2UE,159,4.3932
R20BPS5R2UE,160,4.0897
R20BPS1R2FW,161,3.248
R20BPS2R2FW,162,3.3151
R20BPS3R2FW,163,3.2197
R20BPS4R2FW,164,3.7566
R20BPS5R2FW,165,2.8496
R20BPM1R2,166,4.9572
R20BPM2R2,167,3.7232
R20BPM3R2,168,5.2216
R20BPM4R2,169,4.0431
R20BPM5R2,170,4.1766
R20BPM1R2UE,171,3.7435
R20BPM2R2UE,172,3.7346
R20BPM3R2UE,173,4.1025
R20BPM4R2UE,174,3.6746
R20BPM5R2UE,175,4.2869
R20BPM1R2FW,176,3.6483
R20BPM2R2FW,177,3.3765
R20BPM3R2FW,178,4.562
R20BPM4R2FW,179,4.356
R20BPM5R2FW,180,3.4829
R20BMR1R3,181,3.7264
R20BMR2R3,182,3.4721
R20BMR3R3,183,3.8005
R20BMR4R3,184,3.1215
R20BMR5R3,185,3.4725
R20BMR1R3UE,186,3.8964
R20BMR2R3UE,187,3.5271
R20BMR3R3UE,188,3.1489
R20BMR4R3UE,189,3.3011
R20BMR5R3UE,190,3.2071
R20BMR1R3FW,191,4.9313
R20BMR2R3FW,192,3.1728
R20BMR3R3FW,193,5.0919
R20BMR4R3FW,194,5.3513
R20BMR5R3FW,195,5.1077
R20BSH1R3,196,4.8968
R20BSH2R3,197,5.3191
R20BSH3R3,198,4.8477
R20BSH4R3,199,5.587
R20BSH5R3,200,5.2195
R20BSH1R3UE,201,5.3126
R20BSH2R3UE,202,4.946
R20BSH3R3UE,203,3.4318
R20BSH4R3UE,204,5.6813
R20BSH5R3UE,205,3.8629
R20BSH1R3FW,206,3.4352
R20BSH2R3FW,207,3.5521
R20BSH3R3FW,208,3.7984
R20BSH4R3FW,209,4.9573
R20BSH5R3FW,210,5.1476
R20BCR1R3,211,3.1441
R20BCR2R3,212,3.4015
R20BCR3R3,213,3.1904
R20BCR4R3,214,3.5817
R20BCR5R3,215,3.4342
R20BCR1R3UE,216,3.4447
R20BCR2R3UE,217,3.512
R20BCR3R3UE,218,3.3201
R20BCR4R3UE,219,3.2793
R20BCR5R3UE,220,3.4351
R20BCR1R3FW,221,3.5357
R20BCR2R3FW,222,3.4223
R20BCR3R3FW,223,3.4684
R20BCR4R3FW,224,3.5974
R20BCR5R3FW,225,3.7161
R20BGR1R3,226,3.4717
R20BGR2R3,227,2.8308
R20BGR3R3,228,3.9907
R20BGR4R3,229,4.2266
R20BGR5R3,230,3.6709
R20BGR1R3UE,231,3.1338
R20BGR2R3UE,232,4.1177
R20BGR3R3UE,233,3.8109
R20BGR4R3UE,234,3.7078
R20BGR5R3UE,235,3.2344
R20BGR1R3FW,236,3.6204
R20BGR2R3FW,237,3.1997
R20BGR3R3FW,238,5.2241
R20BGR4R3FW,239,3.1253
R20BGR5R3FW,240,3.7066
R20BPS1R3,241,3.4511
R20BPS2R3,242,3.2596
R20BPS3R3,243,3.5451
R20BPS4R3,244,3.662
R20BPS5R3,245,4.2211
R20BPS1R3UE,246,4.1568
R20BPS2R3UE,247,3.6561
R20BPS3R3UE,248,4.9798
R20BPS4R3UE,249,4.0579
R20BPS5R3UE,250,3.8401
R20BPS1R3FW,251,3.194
R20BPS2R3FW,252,3.1208
R20BPS3R3FW,253,3.10308
R20BPS4R3FW,254,3.846
R20BPS5R3FW,255,3.4473
R20BPM1R3,256,3.3747
R20BPM2R3,257,3.2467
R20BPM3R3,258,5.2339
R20BPM4R3,259,4.2545
R20BPM5R3,260,5.0184
R20BPM1R3UE,261,3.6839
R20BPM2R3UE,262,4.1089
R20BPM3R3UE,263,3.4145
R20BPM4R3UE,264,3.3444
R20BPM5R3UE,265,3.6643
R20BPM1R3FW,266,4.2936
R20BPM2R3FW,267,4.086
R20BPM3R3FW,268,3.5801
R20BPM4R3FW,269,4.873
R20BPM5R3FW,270,2.9301
